folder,num_probes,best_single,worst_single,inverted_probes,union_min,union_median,union_min_tpr,union_median_tpr,union_min_fpr,union_median_fpr
vit_tiny_bpp_0_1_evade_l1,4,0.966274288541274,0.20562317816308584,1,0.8902425084809651,0.9529814596683001,0.9948486089706421,0.9890689849853516,0.2616249918937683,0.2759999930858612
vit_tiny_lc_0_01_evade_l1,4,0.6957666399673326,0.2457532196255811,2,0.6469243152406081,0.6291582014072119,0.36838799715042114,0.45081040263175964,0.2683750092983246,0.2588750123977661
vit_tiny_lc_0_05_evade_l1,4,0.6153791226912929,0.3698999089081543,2,0.5986071664153787,0.48284146877748463,0.3516773581504822,0.1260208636522293,0.24637499451637268,0.2565000057220459
vit_tiny_lc_0_1_evade_l1,4,0.7027742649830381,0.24901099384344766,2,0.6318476253298153,0.5234817502198769,0.3938937187194824,0.13644930720329285,0.2591249942779541,0.26737499237060547
vit_tiny_lf_0_01_evade_l1,4,0.8304588908782511,0.05885166949365498,1,0.7749949192737781,0.7579373193868576,0.7615278363227844,0.7044854760169983,0.26887500286102295,0.28037500381469727
vit_tiny_lf_0_05_evade_l1,4,0.8575416823721573,0.23875661986430458,1,0.7624320344892574,0.8091643029903255,0.7267244458198547,0.8034929037094116,0.25600001215934753,0.2601250112056732
vit_tiny_lf_0_1_evade_l1,4,0.8585043661263979,0.1848856169116723,1,0.7467214945344893,0.7545967772333207,0.6515893936157227,0.7375298142433167,0.26350000500679016,0.27274999022483826
vit_tiny_sig_0_01_evade_l1,4,0.5356866361980148,0.3998808267370273,1,0.5073742932529213,0.48880697952004015,0.2119612991809845,0.19311471283435822,0.24637499451637268,0.25075000524520874
vit_tiny_sig_0_05_evade_l1,4,0.5403768139841689,0.3686096321774092,2,0.5298877764166352,0.4826040253172509,0.2605854868888855,0.18318884074687958,0.25562500953674316,0.2528750002384186
vit_tiny_sig_0_1_evade_l1,4,0.5224299692172384,0.43796290363110946,2,0.48726492021610757,0.45715539797713284,0.2340746372938156,0.20643296837806702,0.26887500286102295,0.2771250009536743
vit_tiny_tact_0_01_evade_l1,4,0.500365152657369,0.484780280185953,3,0.49026636512124644,0.4911555314738033,0.2360849380493164,0.24249278008937836,0.25200000405311584,0.25437501072883606
vit_tiny_tact_0_05_evade_l1,4,0.5022365089835407,0.4802511229425807,3,0.4888183110315366,0.4870692612137203,0.24286970496177673,0.25116220116615295,0.2643750011920929,0.27125000953674316
vit_tiny_tact_0_1_evade_l1,4,0.5023708694559619,0.47406215447920597,3,0.4813727384093479,0.48325895212966447,0.21258951723575592,0.21874608099460602,0.2515000104904175,0.2462500035762787
